;Concurso;Data do Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Ganhadores 6 acertos;Cidade / UF;Rateio 6 acertos;Ganhadores 5 acertos;Rateio 5 acertos;Ganhadores 4 acertos;Rateio 4 acertos;Acumulado 6 acertos;Arrecadação Total;Estimativa prêmio;Acumulado Sorteio Especial Mega da Virada;Observação
1531;1532;21/09/2013;2;11;23;31;42;44;3;"PONTA PORÃ/MS; 
SÃO PAULO/SP";R$1.934.416,36;91;R$19.455,14;5676;R$445,58;R$0,00;R$30.240.050,00;R$2.500.000,00;R$42.619.422,34;
1533;1534;28/09/2013;1;12;28;29;34;48;1;ITALVA/RJ;R$5.734.618,57;89;R$19.892,61;6196;R$408,19;R$0,00;R$30.240.480,00;R$12.300.000,00;R$43.438.653,59;
1536;1537;09/10/2013;6;10;33;50;51;56;1;VITÓRIA/ES;R$23.232.379,04;209;R$13.956,16;11870;R$351,04;R$0,00;R$49.821.730,00;R$2.500.000,00;R$45.356.893,20;Sorteio realizado em Estúdio de TV.
1537;1538;11/10/2013;23;27;35;52;53;57;1;RIBEIRÃOZINHO/MT;R$2.163.459,28;132;R$8.897,35;5238;R$320,31;R$0,00;R$20.060.470,00;R$2.500.000,00;R$45.665.958,83;
1544;1545;06/11/2013;4;6;11;24;45;48;1;MAUÁ/SP;R$80.499.108,16;680;R$13.845,79;45410;R$296,19;R$0,00;R$160.817.482,00;R$2.800.000,00;R$52.823.914,90;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1546;1547;13/11/2013;2;9;10;18;21;28;1;RECIFE/PE;R$6.867.422,89;227;R$8.776,15;11559;R$246,21;R$0,00;R$34.028.022,00;R$2.500.000,00;R$53.804.975,33;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1548;1549;20/11/2013;10;12;16;20;32;53;1;LONDRINA/PR;R$5.772.796,80;66;R$26.319,82;6564;R$378,05;R$0,00;R$29.671.098,00;R$23.000.000,00;R$54.629.660,61;SORTEIO REALIZADO EM ESTÚDIO DE TV
1549;1550;23/11/2013;9;13;21;27;36;56;1;MONTANHA/ES;R$23.634.735,21;229;R$11.349,56;14109;R$263,16;R$0,00;R$44.393.694,00;R$2.500.000,00;R$55.313.620,88;
1550;1551;27/11/2013;2;15;19;21;23;38;1;BOA VISTA/RR;R$2.820.316,51;131;R$11.687,25;7631;R$286,61;R$0,00;R$26.151.116,00;R$3.000.000,00;R$55.716.523,25;Sorteio realizado em Estúdio de TV.
1558;1559;21/12/2013;8;12;16;29;37;58;1;OLÍMPIA/SP;R$51.491.466,00;317;R$11.729,76;16431;R$323,28;R$0,00;R$63.511.922,00;R$200.000.000,00;R$79.825.384,73;
1559;1560;31/12/2013;20;30;36;38;47;53;4;"MACEIÓ/AL; 
TEOFILÂNDIA/BA; 
CURITIBA/PR; 
PALOTINA/PR";R$56.169.465,02;1147;R$38.701,20;90376;R$701,67;R$0,00;R$758.218.978,00;R$1.500.000,00;R$0,00;Sorteio realizado em Estúdio de TV.
1562;1563;09/01/2014;1;6;13;20;36;43;1;ARROIO GRANDE/RS;R$6.872.625,83;202;R$9.475,83;10395;R$263,05;R$0,00;R$32.694.576,00;R$2.500.000,00;R$981.803,74;
1563;1564;11/01/2014;25;38;44;46;53;54;1;RIO DE JANEIRO/RJ;R$3.219.906,28;71;R$24.619,00;5602;R$445,74;R$0,00;R$29.856.274,00;R$9.000.000,00;R$1.441.790,38;
1565;1566;18/01/2014;5;6;11;32;36;60;1;ITAGUAÍ/RJ;R$14.791.263,61;133;R$19.327,16;8797;R$417,43;R$0,00;R$43.906.268,00;R$2.500.000,00;R$2.648.559,87;
1574;1575;19/02/2014;1;4;5;14;45;56;1;SANTA BÁRBARA DOESTE/SP;R$111.503.902,49;709;R$16.432,41;42590;R$390,78;R$0,00;R$199.000.534,00;R$3.000.000,00;R$13.147.179,13;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1576;1577;26/02/2014;11;14;25;32;51;59;1;RIO DE JANEIRO/RJ;R$7.599.721,82;86;R$26.213,16;6004;R$536,38;R$0,00;R$38.505.670,00;R$2.500.000,00;R$14.232.853,70;SORTEIO REALIZADO EM ESTÚDIO DE TV
1579;1580;08/03/2014;1;6;14;17;33;36;2;"RIO DE JANEIRO/RJ; 
SÃO PAULO/SP";R$16.776.243,36;378;R$9.474,63;20400;R$250,79;R$0,00;R$61.173.162,00;R$2.500.000,00;R$15.937.439,15;
1581;1582;15/03/2014;1;4;13;17;38;48;1;SÃO PAULO/SP;R$7.343.875,35;125;R$18.368,65;10807;R$303,51;R$0,00;R$39.218.778,00;R$3.000.000,00;R$16.986.564,23;
1587;1588;05/04/2014;23;29;32;36;45;49;2;"UBERLÂNDIA/MG; 
SÃO PAULO/SP";R$25.541.942,10;353;R$15.601,86;21216;R$370,84;R$0,00;R$94.071.416,00;R$2.500.000,00;R$22.398.347,52;
1590;1591;16/04/2014;4;10;23;33;38;55;1;FIGUEIRÃO/MS;R$37.626.306,90;278;R$13.578,58;16180;R$333,29;R$0,00;R$64.477.166,00;R$2.000.000,00;R$24.725.775,52;Sorteio realizado em Estúdio de TV.
1592;1593;23/04/2014;4;9;17;18;21;38;1;RESTINGA/SP;R$5.259.292,04;136;R$11.281,23;8689;R$252,24;R$0,00;R$26.206.082,00;R$3.000.000,00;R$25.477.102,98;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1594;1595;30/04/2014;2;5;8;42;46;59;2;RIBEIRÃO PRETO/SP;R$10.975.751,52;236;R$11.738,12;12387;R$319,48;R$0,00;R$47.317.026,00;R$2.000.000,00;R$26.667.751,78;Sorteio realizado em Estúdio de TV.
